FID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,ZIP,PRKTYPE,PRKSTATUS,PRKDIST,PRKSIZE,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID
165,CROS,CROSSRIDGE ROAD NEIGHBORHOOD PARK,CROSSRIDGE RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,7.97, ,0,0,District 3,District 1,2003-07-11T00:00:00.000Z,BLACKSR, ,1419429.84943,556645.69717, 
166,ALLE,ALLEGHANY ST NEIGHBORHOOD PARK,ALLEGHANY ST,0, , , , ,CHARLOTTE,NC,28208,NEIGHBORHOOD PARK,UNDEVELOPED,CENTRAL,5.42143, ,0,0,District 3,District 2,,BLACKSR, ,1432291.87599,547055.815858, 
167,FIRST,FIRST WARD NEIGHBORHOOD PARK,N CALDWELL ST,0, , , , ,CHARLOTTE,NC,28202,NEIGHBORHOOD PARK,UNDEVELOPED,CENTRAL,2.04051, ,0,0,District 1,District 4,,BLACKSR, ,1452240.64187,542657.080008, 
168,CTMY,C.T. MYERS GOLF COURSE,7817 HARRISBURG RD,7817, ,HARRISBURG,RD, ,CHARLOTTE,NC,28215,GOLF COURSE,DEVELOPED,SOUTH,304.449,7045361692,0,0,District 5,District 1,2002-03-18T00:00:00.000Z,BLACKSR, ,1496522.81454,539883.199659, 
169,MATM,MATTHEWS-MINT HILL REGIONAL PARK,MATTHEWS-MINT HILL RD,0, , , , ,MATTHEWS,NC,28105,REGIONAL PARK,UNDEVELOPED,SOUTH,93.15935, ,0,0, ,District 6,,BLACKSR, ,1496506.50784,507596.291545, 
170,CADI,CADILLAC GOLF DRIVING RANGE,10401 CADILLAC ST,0, , , , ,PINEVILLE,NC,28134,GOLF COURSE,DEVELOPED,SOUTH,26.95105, ,0,0, ,District 6,,BLACKSR, ,1437564.62937,495633.669361, 
171,DAVS,CLARK'S CREEK NATURE PRESERVE,5542 HUCKS RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28269,NATURE PRESERVE,UNDEVELOPED,NORTH,98.529, ,0,0,District 4,District 1,2003-07-11T00:00:00.000Z,BLACKSR, ,1460538.42413,587342.424973, 
172,MLKR,MARTIN LUTHER KING JR. RECREATION CENTER,500 BILMARK AV,0, , , , ,CHARLOTTE,NC, ,RECREATION CENTER,DEVELOPED,CENTRAL,0, ,0,0,District 4,District 3,1899-12-30T00:00:00.000Z,BLACKSR, ,1469136.26142,555546.351731, 
173,MORC,MERRY OAKS RECREATION CENTER,3508 DRAPER AV,0, , , , ,CHARLOTTE,NC,28205,RECREATION CENTER,DEVELOPED,CENTRAL,0, ,0,0,District 1,District 4,1899-12-30T00:00:00.000Z,BLACKSR, ,1467637.43253,539850.93657, 
174,DBLP,DOUBLE OAKS NEIGHBORHOOD PARK,2605  DOUBLE OAKS RD,2605, ,DOUBLE OAKS,RD, ,CHARLOTTE,NC,28206,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,15.116,7043363367,0,0,District 2,District 2,2008-05-14T00:00:00.000Z,BLACKSR, ,1451262.34127,553450.410031, 
175,TMRC,THOMASBORO SCHOOL RECREATION CENTER,538 BRADFORD DR,0, , , , ,CHARLOTTE,NC, ,RECREATION CENTER,DEVELOPED,CENTRAL,0, ,0,0,District 2,District 2,1899-12-30T00:00:00.000Z,BLACKSR, ,1433242.12898,553259.800343, 
176,WPRC,WALLACE PRUITT RECREATION CENTER,440 TUCKASEEGEE RD,0, , , , ,CHARLOTTE,NC,28208,RECREATION CENTER,DEVELOPED,CENTRAL,0, ,0,0,District 2,District 2,1899-12-30T00:00:00.000Z,BLACKSR, ,1443186.62426,547067.123091, 
177,WGRC,WINGET RECREATION CENTER,12235 WINGET RD,0, , , , ,CHARLOTTE,NC,28278,RECREATION CENTER,DEVELOPED,SOUTH,0, ,0,0,District 3,District 2,1899-12-30T00:00:00.000Z,BLACKSR, ,1401786.15884,508756.626988, 
178,DBOP,DOUBLE OAKS POOL,1200 NEWLAND RD,1200, ,NEWLAND,RD, ,CHARLOTTE,NC,28206,POOL,DEVELOPED,CENTRAL,2.19,7043362653,0,0,District 4,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1451653.27954,553723.551962, 
179,DBWF,DAVID B. WAYMER FLYING REGIONAL PARK,15401 HOLBROOKS RD,15401, ,HOLBROOKS,RD, ,HUNTERSVILLE,NC,28078,REGIONAL PARK,DEVELOPED,NORTH,102.68,7048969808,0,0, ,District 1,1998-07-28T00:00:00.000Z,BLACKSR, ,1458731.00298,606000.159847, 
180,DBWP,DAVID B. WAYMER COMMUNITY PARK,302 HOLBROOKS RD,302, ,HOLBROOKS,RD, ,HUNTERSVILLE,NC,28078,COMMUNITY PARK,DEVELOPED,NORTH,20.365,7048969808,0,0, ,District 1,2003-07-11T00:00:00.000Z,BLACKSR, ,1453028.25559,605262.428015, 
181,DEVS,DEVONSHIRE NEIGHBORHOOD PARK,6330 BARRINGTON DR,6330, ,BARRINGTON,DR, ,CHARLOTTE,NC,28215,NEIGHBORHOOD PARK,DEVELOPED,NORTH,1.484,7045684044,0,0,District 1,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1478858.0146,549509.814111, 
182,DOWD,DOWD HOUSE HISTORIC SITE,2216 MONUMENT ST,2216, ,MONUMENT,ST, ,CHARLOTTE,NC,28208,SPECIAL FACILITY,DEVELOPED,CENTRAL,1.252,7043531165,0,0,District 3,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1437964.37469,542284.789779, 
183,DRTA,DERITA COMMUNITY PARK,3509 FREW RD,3509, ,FREW,RD, ,CHARLOTTE,NC,28206,COMMUNITY PARK,DEVELOPED,NORTH,23.387,7043363367,0,0,District 1,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1460886.46711,554025.039083, 
184,DRUC,DRUID HILLS CENTER,2801 LUCENA ST,2801, ,LUCENA,ST, ,CHARLOTTE,NC,28206,RECREATION CENTER,DEVELOPED,CENTRAL,0,7043531242,0,0,District 4,District 3,2004-03-18T00:00:00.000Z,BLACKSR, ,1455307.47713,553405.298041,CMS
185,DRUD,DRUID HILLS NEIGHBORHOOD PARK,2801 POINSETT ST,2801, ,POINSETT,ST, ,CHARLOTTE,NC,28206,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,6.922,7043362884,0,0,District 4,District 3,1998-10-07T00:00:00.000Z,BLACKSR, ,1453206.05708,554045.78879, 
186,EALD,EAGLES LANDING NEIGHBORHOOD PARK,EAGLES LANDING DR,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,7.487, ,0,0,District 2,District 2,2003-07-11T00:00:00.000Z,BLACKSR, ,1425159.71578,559031.772376, 
187,EASP,EASTWAY COMMUNITY PARK,423 EASTWAY DR,423, ,EASTWAY,DR, ,CHARLOTTE,NC,28215,COMMUNITY PARK,DEVELOPED,NORTH,90.547, ,0,0,District 1,District 3,2003-07-11T00:00:00.000Z,BLACKSR, ,1468626.32878,551824.028961, 
188,EAST,EASTOVER NEIGHBORHOOD PARK,2730 RANDOLPH RD,2730, ,RANDOLPH,RD, ,CHARLOTTE,NC,28207,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,19.419,7043362884,0,0,District 1,District 5,1998-07-28T00:00:00.000Z,BLACKSR, ,1458395.68998,532584.082774, 
189,EBMP,EB MOORE NEIGHBORHOOD PARK,901 MARSH RD,901, ,MARSH,RD, ,CHARLOTTE,NC,28209,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,4.017,7043362884,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1444753.8452,528449.993831, 
190,EDGE,EDGEHILL NEIGHBORHOOD PARK,812 S EDGEHILL RD,812,S,EDGEHILL,RD, ,CHARLOTTE,NC,28207,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,5.375,7043362884,0,0,District 1,District 5,1998-07-28T00:00:00.000Z,BLACKSR, ,1452643.79453,533762.375571, 
191,ELNC,ELON CENTER,11401 ARDREY KELL RD,11401, ,ARDREY KELL,RD, ,CHARLOTTE,NC,28277,RECREATION CENTER,DEVELOPED,SOUTH,10,7045402426,0,0,District 7,District 6,2008-01-16T00:00:00.000Z,BLACKSR, ,1447640.93587,468327.282147, 
192,ENDC,BETTE RAE THOMAS CENTER,2921 TUCKASEEGEE RD,1220, ,CLAY,AV, ,CHARLOTTE,NC,28208,RECREATION CENTER,DEVELOPED,CENTRAL,6.092,7043937333,0,0,District 3,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1439162.5196,548110.618431, 
193,ENDP,ENDERLY NEIGHBORHOOD PARK,1501 ENDERLY RD,1501, ,ENDERLY,RD, ,CHARLOTTE,NC,28208,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,8.476,7043531165,0,0,District 3,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1437471.94602,547784.5067, 
194,EPDO,EAST DISTRICT PARK OFFICE,5715 MONROE RD,5715, ,MONROE,RD, ,CHARLOTTE,NC,28212,SPECIAL FACILITY,DEVELOPED,SOUTH,0,7045684044,0,0,District 5,District 4,2002-06-12T00:00:00.000Z,BLACKSR, ,1472227.86941,527689.407304, 
195,ESTW,EVERGREEN NATURE PRESERVE,NORLAND RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28205,NATURE PRESERVE,DEVELOPED,SOUTH,77.414, ,0,0,District 5,District 4,1998-12-14T00:00:00.000Z,BLACKSR, ,1472239.16167,534625.812406, 
196,EZEL,EZELL FARM COMMUNITY PARK,4130 WELL RD,0, ,NO ADDRESS, , ,MINT HILL,NC,28227,COMMUNITY PARK,UNDEVELOPED,SOUTH,87.834, ,0,0, ,District 6,2003-07-11T00:00:00.000Z,BLACKSR, ,1499793.71492,516043.953841, 
197,FIRE,FIREMANS HALL,2601 E 7TH ST,2601,E,7TH,ST, ,CHARLOTTE,NC,28204,SPECIAL FACILITY,DEVELOPED,CENTRAL,0,7043362884,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1459467.41884,534837.1137, 
198,FIVE,FIVE POINTS NEIGHBORHOOD PARK,200 FRENCH ST,200, ,FRENCH,ST, ,CHARLOTTE,NC,28216,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,9.246,7043531165,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR, ,1444767.37034,550517.402834, 
199,FLTB,FLAT BRANCH COMMUNITY PARK,11830 TOM SHORT RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28277,COMMUNITY PARK,DEVELOPED,SOUTH,54.225, ,0,0,District 7,District 6,1998-10-06T00:00:00.000Z,BLACKSR, ,1463127.95278,476577.213672, 
200,FOUR,FOURTH WARD NEIGHBORHOOD PARK,301 N POPLAR ST,301,N,POPLAR,ST, ,CHARLOTTE,NC,28202,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,2.917,7043363367,0,0,District 2,District 3,2007-12-12T00:00:00.000Z,BLACKSR, ,1449884.99518,544350.14924, 
201,FRAZ,FRAZIER NEIGHBORHOOD PARK,1200 W 4TH ST EXT,1201,W,4TH,ST,EX,CHARLOTTE,NC,28202,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,16.479,7043363367,0,0,District 2,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1445517.25257,544997.55171, 
202,FRED,FRED ALEXANDER NEIGHBORHOOD PARK,739 E 12TH ST,739,E,12TH,ST, ,CHARLOTTE,NC,28216,NEIGHBORHOOD PARK,DEVELOPED,NORTH,6.044,7043368096,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR, ,1445158.69006,562394.285525, 
203,FREE,FREEDOM REGIONAL PARK,2435 CUMBERLAND AV,2435, ,CUMBERLAND,AV, ,CHARLOTTE,NC,28203,REGIONAL PARK,DEVELOPED,CENTRAL,104.89,7043362884,0,0,District 1,District 5,2007-10-24T00:00:00.000Z,BLACKSR, ,1448885.71454,529821.92946, 
204,FSPK,FIRESTONE COMMUNITY PARK,3501 FIRESTONE DR,3501, ,FIRESTONE,DR, ,CHARLOTTE,NC,28216,COMMUNITY PARK,DEVELOPED,NORTH,54.612,7043368096,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR, ,1441270.3569,564949.79455, 
205,FSTW,FIRST WARD CENTER,610 E 7TH ST,610,E,7TH,ST, ,CHARLOTTE,NC,28202,RECREATION CENTER,DEVELOPED,CENTRAL,0,7043363841,0,0,District 1,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1452040.36628,541861.35941, 
206,GATE,ISWA NATURE PRESERVE,9701 WILKINSON BV,9701, ,WILKINSON,BV, ,CHARLOTTE,NC,28214,NATURE PRESERVE,DEVELOPED,SOUTH,99.574,7045831176,0,0, ,District 1,1998-07-28T00:00:00.000Z,BLACKSR, ,1401439.18206,549983.615701, 
207,GCNP,GAR CREEK NATURE PRESERVE,MCCOY RD,0, ,NO ADDRESS, , ,HUNTERSVILLE,NC,28078,NATURE PRESERVE,DEVELOPED,NORTH,353.157, ,0,0, ,District 1,2002-05-13T00:00:00.000Z,BLACKSR, ,1437984.06931,592017.111242, 
208,GRAY,GRAYSON NEIGHBORHOOD PARK,750 BEAL ST,750, ,BEAL,ST, ,CHARLOTTE,NC,28211,NEIGHBORHOOD PARK,DEVELOPED,SOUTH,12.278,7046433405,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1463607.31856,529167.606476, 
209,GRDY,GRADY COLE CENTER,310 N KINGS DR,310,N,KINGS,DR, ,CHARLOTTE,NC,28204,SPECIAL FACILITY,DEVELOPED,CENTRAL,0,7043530200,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1453591.57807,539885.924338, 
210,GRHT,GRIER HEIGHTS NEIGHBORHOOD PARK,3110  LEROY ST,3110, ,LEROY,ST, ,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,5.468,7043362884,0,0,District 1,District 4,2007-07-16T00:00:00.000Z,BLACKSR, ,1459111.40852,530888.415991, 
211,GRNC,GREENVILLE CENTER,1330 SPRING ST,1330, ,SPRING,ST, ,CHARLOTTE,NC,28206,RECREATION CENTER,DEVELOPED,CENTRAL,0,7043363367,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR, ,1450033.3098,549320.763147, 
212,GRNP,GREENVILLE NEIGHBORHOOD PARK,1401 POLK ST,1401, ,POLK,ST, ,CHARLOTTE,NC,28206,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,16.506,7043363367,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR, ,1449998.40314,548621.943633, 
213,H521,ELON HOMES REGIONAL PARK,11435 ARDREY KELL RD,11435, ,ARDREY KELL,RD, ,CHARLOTTE,NC,28277,REGIONAL PARK,DEVELOPED,SOUTH,118.094,7046433405,0,0,District 7,District 6,1998-10-06T00:00:00.000Z,BLACKSR, ,1447609.92097,468306.293108, 
214,HACP,HARRISBURG ROAD REGIONAL PARK,8045 HARRISBURG RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28215,REGIONAL PARK,DEVELOPED,SOUTH,106.622, ,0,0,District 5,District 1,2002-04-03T00:00:00.000Z,BLACKSR, ,1496953.71051,540752.304049, 
215,HARP,HARRISBURG ROAD NEIGHBORHOOD PARK,7701 HARRISBURG RD,7701, ,HARRISBURG,RD, ,CHARLOTTE,NC,28215,NEIGHBORHOOD PARK,DEVELOPED,SOUTH,6.107,7045684044,0,0,District 5,District 1,1998-07-28T00:00:00.000Z,BLACKSR, ,1496503.88883,539833.906475, 
216,HAWC,HAWTHORNE CENTER,345 HAWTHORNE LN,345, ,HAWTHORNE,LN, ,CHARLOTTE,NC,28204,RECREATION CENTER,DEVELOPED,CENTRAL,0,7043362008,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1455591.61275,538276.656731, 
217,HAYP,HAYMARKET NATURE PRESERVE,11634 BROOKSHIRE BV,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,NATURE PRESERVE,UNDEVELOPED,NORTH,100.376, ,0,0, ,District 1,2003-07-11T00:00:00.000Z,BLACKSR, ,1415200.68709,584912.571622, 
218,HORN,HORNETS NEST REGIONAL PARK,6331 BEATTIES FORD RD,6331, ,BEATTIES FORD,RD, ,CHARLOTTE,NC,28216,REGIONAL PARK,DEVELOPED,NORTH,140.358,7043368096,0,0,District 2,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1443679.17933,576640.062516, 
219,HORT,HORTICULTURAL MAINTENANCE FACILITY,11826 MALLARD CREEK RD,11826, ,MALLARD CREEK,RD, ,CHARLOTTE,NC,28269,SPECIAL FACILITY,DEVELOPED,NORTH,0,7045494930,0,0,District 4,District 1,1998-08-12T00:00:00.000Z,BLACKSR, ,1476402.92281,589318.383778, 
220,HOSK,HOSKINS NEIGHBORHOOD PARK,3801 GOSSETT AV,3801, ,GOSSETT,AV, ,CHARLOTTE,NC,28208,NEIGHBORHOOD PARK,DEVELOPED,NORTH,15.763,7048751391,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR, ,1437463.88268,554782.88348, 
221,HOWA,HOWIE ACRES NEIGHBORHOOD PARK,1001 TREMBETH DR,1001, ,TREMBETH,DR, ,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,NORTH,7.759,7043363367,0,0,District 1,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1467294.47646,550544.553274, 
222,HUNT,HUNTINGTOWNE FARMS COMMUNITY PARK,2400 RAMBLEWOOD LN,2400, ,RAMBLEWOOD,LN, ,CHARLOTTE,NC,28210,COMMUNITY PARK,DEVELOPED,SOUTH,22.741,7046433405,0,0,District 6,District 2,1998-07-28T00:00:00.000Z,BLACKSR, ,1443154.92141,506783.41062, 
223,IDLE,IDLEWILD ROAD REGIONAL PARK,10512 IDLEWILD RD,10512, ,IDLEWILD,RD, ,MINT HILL,NC,28105,REGIONAL PARK,DEVELOPED,SOUTH,125.257,7045684044,0,0, ,District 6,1998-07-28T00:00:00.000Z,BLACKSR, ,1491924.95714,519129.307711, 
224,INDP,INDEPENDENCE NEIGHBORHOOD PARK,300 HAWTHORNE LN,300, ,HAWTHORNE,LN, ,CHARLOTTE,NC,28204,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,19.821,7043362884,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1455673.9356,538354.828379, 
225,INPP,INDEPENDENCE POINTE NEIGHBORHOOD PARK,INDEPENDENCE POINTE PY,0, ,NO ADDRESS, , ,MATTHEWS,NC,28105,NEIGHBORHOOD PARK,UNDEVELOPED,SOUTH,11.427, ,0,0, ,District 6,2003-07-11T00:00:00.000Z,BLACKSR, ,1487684.49202,507491.601333,MATT
226,MARM,MARMAC ROAD COMMUNITY PARK,TUCKASEEGEE RD,0, , , , ,CHARLOTTE,NC,28266,COMMUNITY PARK,UNDEVELOPED,NORTH,22.463, ,0,0,District 3,District 2,2008-04-21T00:00:00.000Z,BLACKSR, ,1425065.21143,549557.642708, 
227,IRWN,RAYS SPLASH PLANET,215 N SYCAMORE ST,215,N,SYCAMORE,ST, ,CHARLOTTE,NC,28202,RECREATION CENTER,DEVELOPED,CENTRAL,0,7044324729,0,0,District 2,District 3,1998-10-06T00:00:00.000Z,BLACKSR, ,1446985.91961,546359.441086, 
228,JATC,JEFF ADAMS TENNIS CENTER,1200 W TYVOLA RD,1200,W,TYVOLA,RD, ,CHARLOTTE,NC,28217,SPECIAL FACILITY,DEVELOPED,SOUTH,0,7045291827,0,0,District 3,District 2,1998-07-28T00:00:00.000Z,BLACKSR, ,1430324.92393,522928.360336, 
229,JBCP,JAMES BOYCE COMMUNITY PARK,300 BOYCE RD,300, ,BOYCE,RD, ,CHARLOTTE,NC,28211,COMMUNITY PARK,DEVELOPED,SOUTH,72.964,7045684044,0,0,District 6,District 5,1999-02-11T00:00:00.000Z,BLACKSR, ,1471214.04428,513294.234936, 
230,JPLN,JETTON REGIONAL PARK,19000 JETTON RD,19000, ,JETTON,RD, ,CORNELIUS,NC,28078,REGIONAL PARK,DEVELOPED,NORTH,103.788,7048969808,0,0, ,District 1,1998-07-28T00:00:00.000Z,BLACKSR, ,1434565.99284,633650.828859, 
231,JUPK,JULIAN UNDERWOOD NEIGHBORHOOD PARK,5400 GALWAY DR,5400, ,GALWAY,DR, ,CHARLOTTE,NC,28215,NEIGHBORHOOD PARK,DEVELOPED,SOUTH,13.163,7045684044,0,0,District 1,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1476146.30125,548128.521699, 
232,KLBN,KILBORNE COMMUNITY PARK,2600 KILBORNE DR,2600, ,KILBORNE,DR, ,CHARLOTTE,NC,28205,COMMUNITY PARK,DEVELOPED,SOUTH,50.823,7045684044,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1471111.97424,539884.212181, 
233,LATC,LATTA CENTER,510 EAST PARK AV,510, ,EAST PARK,AV, ,CHARLOTTE,NC,28203,RECREATION CENTER,DEVELOPED,CENTRAL,0,7043362533,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1446980.76824,536582.789285, 
234,LATN,LATTA PLANTATION NATURE PRESERVE,5226 SAMPLE RD,5226, ,SAMPLE,RD, ,HUNTERSVILLE,NC,28216,NATURE PRESERVE,DEVELOPED,NORTH,1348.334,7048751391,0,0, ,District 1,1998-07-28T00:00:00.000Z,BLACKSR, ,1431133.52043,589991.008961, 
235,LATP,LATTA COMMUNITY PARK,601 EAST PARK AV,601, ,EAST PARK,AV, ,CHARLOTTE,NC,28203,COMMUNITY PARK,DEVELOPED,CENTRAL,31.605,7043362884,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1447160.2031,536339.037875, 
236,LATT,LATTA PLACE HISTORIC SITE,5225 SAMPLE RD,5225, ,SAMPLE,RD, ,HUNTERSVILLE,NC,28216,SPECIAL FACILITY,DEVELOPED,NORTH,2.988,7048752312,0,0, ,District 1,1998-07-28T00:00:00.000Z,BLACKSR, ,1424849.78851,589015.858036, 
237,LCCP,L.C. COLEMAN NEIGHBORHOOD PARK,1501 MCDONALD ST,1501, ,MCDONALD,ST, ,CHARLOTTE,NC,28216,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,19.922,7043531165,0,0,District 2,District 2,1998-11-06T00:00:00.000Z,BLACKSR, ,1444327.01466,554187.116117, 
238,DAVP,HUCKS ROAD COMMUNITY PARK,HUCKS RD,0, , , , ,CHARLOTTE,NC,28269,COMMUNITY PARK,UNDEVELOPED,NORTH,31.771, ,0,0,District 4,District 1,2003-07-11T00:00:00.000Z,BLACKSR, ,1460268.10251,587622.448476, 
239,MOEP,MERRY OAKS ELEM. NEIGHBORHOOD PARK,3508 DRAPER AVE,0, , , , ,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,1.436,7045691496,0,0,District 1,District 4,1998-10-12T00:00:00.000Z,BLACKSR, ,1466732.02159,539660.225011, 
240,MCDP,MCDOWELL CREEK NEIGHBORHOOD PARK,GILEAD RD,0, , , , ,HUNTERSVILLE,NC,28078,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,14.349, ,0,0, ,District 1,2008-07-28T00:00:00.000Z,BLACKSR, ,1437657.54486,608366.993169, 
241,WMJP,WEST MECK NEIGHBORHOOD PARK,WESTERWOOD DR,0, , , , ,CHARLOTTE,NC,28214,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,4.085, ,0,0,District 3,District 2,2008-07-28T00:00:00.000Z,BLACKSR, ,1416395.27173,551607.946652, 
242,LKWD,LAKEWOOD NEIGHBORHOOD PARK,3131 KALYNNE ST,3131, ,KAYLNNE,ST, ,CHARLOTTE,NC,28208,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,10.946,7043531165,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR, ,1439507.42631,552094.742353, 
243,LNCH,LINCOLN HEIGHTS NEIGHBORHOOD PARK,CATHERINE SIMMONS AV,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28216,NEIGHBORHOOD PARK,UNDEVELOPED,CENTRAL,10.316, ,0,0,District 2,District 2,1998-10-12T00:00:00.000Z,BLACKSR, ,1448384.37654,555887.845011, 
244,LPEQ,LATTA PLANTATION EQUESTRIAN CENTER,6201 SAMPLE RD,6201, ,SAMPLE,RD, ,HUNTERSVILLE,NC,28216,SPECIAL FACILITY,DEVELOPED,NORTH,0,7048750808,0,0, ,District 1,1998-07-28T00:00:00.000Z,BLACKSR, ,1429213.19397,588773.357545, 
245,LTLP,LITTLE PEOPLES NEIGHBORHOOD PARK,1120 HARRILL ST,1200, ,HARRILL,ST, ,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,0.194,7043363367,0,0,District 1,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1456404.89648,543042.17361, 
246,LTRC,ROBERT L. SMITH REGIONAL PARK,1604 LITTLE ROCK RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,REGIONAL PARK,DEVELOPED,NORTH,209.149, ,0,0,District 3,District 1,1998-09-02T00:00:00.000Z,BLACKSR, ,1420690.97553,553800.909945, 
247,PENN,CHARLIE AND IDA GRAHAM COMMUNITY PARK,OLIVER HAGER RD,0, , , , ,HUNTERSVILLE,NC,28078,COMMUNITY PARK,UNDEVELOPED,NORTH,45.551, ,0,0, ,District 1,2008-04-21T00:00:00.000Z,BLACKSR, ,1433550.73055,616092.101677,HUNT
248,MATH,MECK. CO. REGIONAL SPORTS COMPLEX,1601 TANK TOWN RD,0, ,NO ADDRESS, , ,MATTHEWS,NC,28105,REGIONAL PARK,DEVELOPED,SOUTH,196.394, ,0,0, ,District 6,1998-10-06T00:00:00.000Z,BLACKSR, ,1491044.21447,498440.791262, 
